address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"515 18th St   #1904, New York, NY 10011",10011,7475000,2167,3,3.0,40.745083,-74.00653,condo
"119 Waverly Pl   #3-4, New York, NY 10011",10011,11500000,3600,4,4.0,40.73279,-73.999275,coop
"147 W  15th St #9S, New York, NY 10011",10011,5600000,2654,2,3.0,40.739025,-73.99806,coop
"80 W  Washington Plce, New York, NY 10011",10011,22500000,8757,6,8.0,40.731827,-74.00004,single-family home
"500 22nd St   #A, New York, NY 10011",10011,9985000,3005,3,4.0,40.74701,-74.00503,condo
"24 W  10th St, New York, NY 10011",10011,23750000,9000,7,9.0,40.733803,-73.996925,townhouse
"38 W  11th St, New York, NY 10011",10011,23945000,12000,15,11.0,40.734486,-73.99668,multi-family
"312 W  23rd St   #1A, New York, NY 10011",10011,699000,332,0,1.0,40.7453,-73.9993,condo
"66 9th Ave #5E, New York, NY 10011",10011,2995000,2039,3,3.0,40.741096,-74.00512,condo
"201 E  15th St #3J, New York, NY 10003",10003,299000,500,0,1.0,40.73398,-73.98639,coop
"15 E  30th St   #36D, New York, NY 10016",10016,4500000,1674,2,3.0,40.7457,-73.9852,condo
"204 W  Houston St #3D, New York, NY 10014",10014,999000,825,1,1.0,40.72872,-74.004074,coop
"247 W  46th St #1105, New York, NY 10036",10036,11000000,4333,4,6.0,40.759773,-73.98753,condo
"517 W  46th St #704, New York, NY 10036",10036,1895000,1233,2,2.0,40.762867,-73.99466,condo
"81 E  7th St   #HSE, New York, NY 10003",10003,8200000,9390,8,9.0,40.727386,-73.98613,multi-family
"107 W  26th St #2, New York, NY 10001",10001,3495000,2107,3,3.0,40.745205,-73.9918,condo
"13 E  30th St #6, New York, NY 10016",10016,1950000,1446,2,2.0,40.745705,-73.98536,condo
"505 W  47th St   #2BS, New York, NY 10036",10036,610000,423,0,1.0,40.7634,-73.9937,condo
"24 E  21st St, New York, NY 10010",10010,7500000,4109,4,5.0,40.73937,-73.98902,condo
"45 Christopher St #15C, New York, NY 10014",10014,1800000,902,1,1.0,40.73396,-74.001854,condo
"110 3rd Ave #6C, New York, NY 10003",10003,2695000,1442,3,3.0,40.732956,-73.98783,condo
"50 Gramercy Park N  #12B, New York, NY 10010",10010,3250000,2032,2,3.0,40.73863,-73.98606,apartment
"200 E  16th St #6F, New York, NY 10003",10003,550000,500,0,1.0,40.73441,-73.98598,coop
"77 Bleecker St #221, New York, NY 10012",10012,1650000,675,2,2.0,40.727127,-73.99593,coop
"75 1st Ave  #A, New York, NY 10003",10003,5250000,1757,3,3.0,40.7257,-73.9871,condo
"254 Park Ave  S  #12K, New York, NY 10010",10010,1890000,950,2,2.0,40.7386,-73.988,condo
"14 Horatio St   #1E, New York, NY 10014",10014,2695000,1564,3,3.0,40.7386,-74.0032,coop
"14 Horatio Street UNIT 1-EFG, New York, NY 10014",10014,2695000,1564,3,3.0,40.73867,-74.00314,coop
"291 W  12th St, New York, NY 10014",10014,7500000,3490,5,4.0,40.737717,-74.00427,multi-family
"20 E  9th St #9U, New York, NY 10003",10003,2095000,990,2,2.0,40.73224,-73.99478,coop
"74 Mac Dougal St, New York, NY 10012",10012,7995000,3552,7,5.0,40.72834,-74.001755,multi-family
"315 7th Ave #7A, New York, NY 10001",10001,1795000,770,2,2.0,40.74697,-73.99323,condo
"70 E  10th St   #7E, New York, NY 10003",10003,2000000,1450,2,2.0,40.7312,-73.9911,coop
"54 Barrow St   #4C, New York, NY 10014",10014,12000000,9320,0,20.0,40.73211,-74.00488,multi-family
"151 Wooster St   #4/5B, New York, NY 10012",10012,15000000,6000,4,7.0,40.726254,-73.99967,condo
"77 Bleecker St #1413, New York, NY 10012",10012,665000,600,1,1.0,40.727127,-73.99593,coop
"10 Sullivan St #7A, New York, NY 10012",10012,8750000,2950,3,4.0,40.7246,-74.00413,condo
"50 Bond St   #4, New York, NY 10012",10012,7000000,3000,3,3.0,40.726166,-73.99257,condo
