address,latitude,longitude,Subway_count,School_count,Park_count,Metro_count,Bus_count,Supermarket_count,Bank_count,Parking_count,Cinema_count,Mall_count,Restaurant_count,Gym_count,Boutique_count,Museum_count,Arts_count,Theatre_count
"80 Gold St #14B, New York, NY 10038",40.71015,-74.00403,120,10,5,22,71,18,57,8,1,2,290,0,0,5,0,1
"111 Fulton St #424, New York, NY 10038",40.70974,-74.00662,122,9,7,21,78,14,44,8,2,0,259,0,0,6,0,1
"28 Cliff St #4, New York, NY 10038",40.70806,-74.005104,126,9,4,22,73,7,42,8,1,0,220,0,0,5,0,0
"80 Gold St #3B, New York, NY 10038",40.70925,-74.00361,116,10,5,19,68,16,49,8,1,2,270,0,0,5,0,1
"100 South #C-P, New York, NY 10038",40.7656,-73.9767,109,9,0,16,104,6,51,16,2,1,219,0,0,3,1,11
"111 Fulton St #701, New York, NY 10038",40.70974,-74.00662,122,9,7,21,78,14,44,8,2,0,259,0,0,6,0,1
"333 Pearl St   #24G, New York, NY 10038",40.7093,-74.0036,116,10,5,19,68,16,51,8,1,2,271,0,0,5,0,1
"5 Beekman St   #22C, New York, NY 10038",40.7112,-74.0069,136,10,7,24,81,16,54,9,3,0,297,0,0,6,0,1
"88 Greenwich St #607, New York, NY 10006",40.70779,-74.013885,123,5,4,21,62,11,38,5,2,0,165,0,0,6,0,0
"212 Warren St #5L, New York, NY 10282",40.716675,-74.01392,89,3,3,17,56,6,25,6,3,0,128,0,0,3,0,1
"75 Wall St #34H, New York, NY 10005",40.705193,-74.007904,111,5,1,20,59,9,33,4,1,0,151,0,0,6,0,0
"55 Wall St #830, New York, NY 10005",40.70601,-74.00927,116,5,3,21,63,11,35,4,1,0,157,0,0,6,0,0
"212 Warren St #16S, New York, NY 10282",40.716675,-74.01392,89,3,3,17,56,6,25,6,3,0,128,0,0,3,0,1
"56 Pine St #6C, New York, NY 10005",40.706837,-74.00832,126,5,3,22,68,11,37,5,1,0,175,0,0,6,0,0
"75 Wall St #24N, New York, NY 10005",40.705193,-74.007904,111,5,1,20,59,9,33,4,1,0,151,0,0,6,0,0
"3 Hanover Sq #3F, Manhattan, NY 10004",40.705,-74.00962,110,5,2,19,54,10,32,4,1,0,150,0,0,6,0,0
"311 Greenwich St #3E, New York, NY 10013",40.71657,-74.01052,113,5,3,22,57,10,34,6,4,0,180,0,0,4,0,1
"20 Pine St   #2012, New York, NY 10005",40.7077,-74.0098,126,5,4,22,71,12,40,6,2,0,186,0,0,6,0,0
"88 Greenwich St #2805, New York, NY 10006",40.70779,-74.013885,123,5,4,21,62,11,38,5,2,0,165,0,0,6,0,0
"111 Murray St #12C, New York, NY 10007",40.71541,-74.01259,117,3,3,21,59,10,29,6,4,0,155,0,0,3,0,1
"179-23 Selover Road, Jamaica, NY 11434",40.68341,-73.76445,0,2,3,2,71,2,1,2,0,0,8,0,0,0,0,1
