zipcode,Median income,Median home value,Less than High School Diploma,High School Graduate,Associate degree,Bachelor degree,Master degree,Professional school degree,Doctorate degree,Unemployment rate,Population Density
10001,81671.0,650200.0,0.08,0.19,0.03,0.38,0.21,0.07,0.03,0.26,33959.0
10002,33218.0,535600.0,0.36,0.31,0.04,0.21,0.06,0.02,0.01,0.45,92573.0
10003,92540.0,817700.0,0.04,0.16,0.02,0.43,0.21,0.09,0.04,0.26,97188.0
10004,129313.0,894200.0,0.02,0.16,0.04,0.42,0.22,0.13,0.02,0.12,5519.0
10005,124670.0,1000001.0,0.023,0.083,0.007,0.478,0.239,0.129,0.041,0.1,97048.0
10006,119274.0,714300.0,0.01,0.11,0.06,0.41,0.24,0.11,0.06,0.06,32796.0
10007,216037.0,1000001.0,0.06,0.15,0.02,0.35,0.24,0.12,0.06,0.22,42751.0
10009,59929.0,672800.0,0.16,0.23,0.03,0.36,0.14,0.05,0.02,0.33,99492.0
10010,97955.0,746200.0,0.03,0.18,0.05,0.4,0.2,0.11,0.03,0.3,81487.0
10011,104238.0,914500.0,0.05,0.15,0.03,0.4,0.22,0.1,0.04,0.22,77436.0
10012,86594.0,1000001.0,0.07,0.16,0.02,0.42,0.18,0.08,0.08,0.21,74517.0
10013,83725.0,1000001.0,0.19,0.18,0.01,0.34,0.18,0.07,0.03,0.32,50154.0
10014,108483.0,947300.0,0.02,0.14,0.02,0.47,0.21,0.1,0.04,0.18,56119.0
10016,105324.0,759600.0,0.03,0.14,0.03,0.44,0.21,0.12,0.03,0.21,101814.0
10017,100652.0,637100.0,0.02,0.14,0.03,0.43,0.24,0.09,0.04,0.17,51775.0
10018,104635.0,1000001.0,0.08,0.19,0.04,0.39,0.21,0.08,0.01,0.17,16251.0
10019,84424.0,808600.0,0.08,0.19,0.03,0.37,0.21,0.09,0.03,0.23,63042.0
10021,107907.0,1000001.0,0.03,0.14,0.03,0.38,0.24,0.12,0.05,0.28,112711.0
10022,109019.0,866100.0,0.02,0.15,0.02,0.43,0.21,0.13,0.04,0.27,73158.0
10023,103534.0,872500.0,0.03,0.15,0.02,0.34,0.28,0.12,0.05,0.29,124357.0
10024,109956.0,1000001.0,0.05,0.16,0.02,0.34,0.25,0.13,0.05,0.27,69106.0
10025,68516.0,934600.0,0.1,0.19,0.03,0.29,0.24,0.08,0.06,0.34,125860.0
10026,43107.0,602400.0,0.17,0.38,0.05,0.21,0.14,0.03,0.02,0.4,102315.0
